Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1345836,2014-07-18,2014-07-18,,Movie name 01,Movie name 01,link here,Movie,8.4,164,2012,"Action, Drama, Thriller",1872134,2012-07-20,Christopher Nolan,9,2014-12-13
2,tt2023587,2014-07-18,2014-07-18,,Movie name 02,Movie name 02,link here,Movie,6.2,100,2013,"Fantasy, Horror, Thriller",194116,2013-01-18,Marc Webb,,
3,tt1959490,2014-07-18,2014-07-18,,Movie name 03,Movie name 03,link here,Movie,5.8,138,2014,"Action, Adventure, Drama",269487,2014-03-28,Francis Ford Coppola,,
4,tt1877832,2014-07-18,2014-07-18,,Movie name 04,Movie name 04,link here,Movie,7.9,132,2014,"Action, Adventure, Sci-Fi, Thriller",760334,2014-05-23,Marc Webb,7,2014-12-13
5,tt1490017,2014-07-18,2014-07-18,,Movie name 05,Movie name 05,link here,Movie,7.7,100,2014,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",395716,2014-02-07,Guy Ritchie,,
6,tt2294629,2014-07-18,2014-07-18,,Movie name 06,Movie name 06,link here,Movie,7.4,102,2013,"Animation, Adventure, Comedy, Family, Fantasy, Musical",675964,2013-11-27,Director A,,
7,tt0993846,2014-07-18,2014-07-18,,Movie name 07,Movie name 07,link here,Movie,8.2,180,2013,"Biography, Comedy, Crime, Drama",1634475,2013-12-25,Martin Scorsese,9,2014-12-13
8,tt1723121,2014-07-18,2014-07-18,,Movie name 08,Movie name 08,link here,Movie,7,110,2013,"Comedy, Crime",496757,2013-08-07,Director B,9,2024-11-18
9,tt1951264,2014-07-18,2014-07-18,,Movie name 09,Movie name 09,link here,Movie,7.5,146,2013,"Action, Adventure, Sci-Fi, Thriller",734879,2013-11-22,Guy Ritchie,,
10,tt2184339,2014-07-18,2014-07-18,,Movie name 10,Movie name 10,link here,Movie,5.7,85,2013,"Horror, Sci-Fi, Thriller",247109,2013-06-07,Director C,8,2024-11-18
11,tt1872181,2014-07-18,2014-07-18,,Movie name 11,Movie name 11,link here,Movie,6.6,142,2014,"Action, Adventure, Sci-Fi",551724,2014-05-02,Marc Webb,7,2024-11-18
12,tt1800241,2014-07-18,2014-07-18,,Movie name 12,Movie name 12,link here,Movie,7.2,138,2013,"Crime, Drama",505385,2013-12-20,Francis Ford Coppola,,
13,tt1201607,2014-07-18,2014-07-18,,Movie name 13,Movie name 13,link here,Movie,8.1,130,2011,"Adventure, Family, Fantasy, Mystery",971675,2011-07-15,Marc Webb,8,2014-12-13
14,tt0848228,2014-07-18,2014-07-18,,Movie name 14,Movie name 14,link here,Movie,8,143,2012,"Action, Sci-Fi",1483775,2012-05-04,,8,2014-12-13
15,tt1430132,2014-07-18,2014-07-18,,Movie name 15,Movie name 15,link here,Movie,6.7,126,2013,"Action, Sci-Fi",504866,2013-07-26,Francis Ford Coppola,6,2024-11-18
16,tt0892769,2014-07-18,2014-07-18,,Movie name 16,Movie name 16,link here,Movie,8.1,98,2010,"Animation, Action, Adventure, Family, Fantasy",820567,2010-03-26,,8,2014-12-13
17,tt0241527,2014-07-18,2014-07-18,,Movie name 17,Movie name 17,link here,Movie,7.6,152,2001,"Adventure, Family, Fantasy",879511,2001-11-16,,,
18,tt1392170,2014-07-18,2014-07-18,,Movie name 18,Movie name 18,link here,Movie,7.2,142,2012,"Action, Adventure, Sci-Fi, Thriller",1023501,2012-03-23,Guy Ritchie,,
19,tt0068646,2014-07-18,2014-07-18,,Movie name 19,Movie name 19,link here,Movie,9.2,175,1972,"Crime, Drama",2067715,1972-03-24,,10,2024-08-23
20,tt0109830,2014-07-18,2014-07-18,,Movie name 20,Movie name 20,link here,Movie,8.8,142,1994,"Drama, Romance",2320505,1994-07-06,Francis Ford Coppola,9,2014-12-13
21,tt1457767,2014-07-18,2014-07-18,,Movie name 21,Movie name 21,link here,Movie,7.5,112,2013,"Horror, Mystery, Thriller",572138,2013-07-19,,,
22,tt1170358,2014-07-18,2014-07-18,,Movie name 22,Movie name 22,link here,Movie,7.8,161,2013,"Adventure, Fantasy",720078,2013-12-13,Zack Snyder,,
23,tt0770828,2014-07-18,2014-07-18,,Movie name 23,Movie name 23,link here,Movie,7.1,143,2013,"Action, Adventure, Sci-Fi",822965,2013-06-14,Guy Ritchie,8,2023-02-25
24,tt0816711,2014-07-18,2014-07-18,,Movie name 24,Movie name 24,link here,Movie,7,116,2013,"Action, Adventure, Horror, Sci-Fi",739461,2013-06-21,Francis Ford Coppola,9,2014-07-18
25,tt2101441,2014-07-18,2014-07-18,,Movie name 25,Movie name 25,link here,Movie,5.3,94,2012,"Crime, Drama, Thriller",150474,2013-03-22,Zack Snyder,,
26,tt1392214,2014-07-18,2014-07-18,,Movie name 26,Movie name 26,link here,Movie,8.2,153,2013,"Crime, Drama, Mystery, Thriller",840421,2013-09-20,,7,2014-12-13
27,tt0110912,2014-07-18,2014-07-18,,Movie name 27,Movie name 27,link here,Movie,8.9,154,1994,"Crime, Drama",2276724,1994-10-14,Quentin Tarantino,10,2023-08-26
28,tt1659337,2014-07-18,2014-07-18,,Movie name 28,Movie name 28,link here,Movie,7.9,103,2012,Drama,559627,2012-10-12,,10,2014-12-12
29,tt0137523,2014-07-18,2014-07-18,,Movie name 29,Movie name 29,link here,Movie,8.8,139,1999,Drama,2396518,1999-10-15,James Cameron,8,2014-12-13
30,tt1375666,2014-07-18,2014-07-18,,Movie name 30,Movie name 30,link here,Movie,8.8,148,2010,"Action, Adventure, Sci-Fi, Thriller",2614737,2010-07-16,Christopher Nolan,9,2014-12-13
31,tt1270798,2014-07-18,2014-07-18,,Movie name 31,Movie name 31,link here,Movie,7.7,131,2011,"Action, Sci-Fi",737886,2011-06-03,Zack Snyder,,
32,tt1905041,2014-07-18,2014-07-18,,Movie name 32,Movie name 32,link here,Movie,7,130,2013,"Action, Crime, Thriller",422820,2013-05-24,Guy Ritchie,,
